净值日期,单位净值,日增长率
2017-08-18,1.405,0.0
2017-08-21,1.413,0.5694
2017-08-22,1.412,-0.0708
2017-08-23,1.409,-0.2125
2017-08-24,1.4,-0.6388
2017-08-25,1.408,0.5714
2017-08-28,1.413,0.3551
2017-08-29,1.408,-0.3539
2017-08-30,1.407,-0.071
2017-08-31,1.41,0.2132
2017-09-01,1.414,0.2837
2017-09-04,1.422,0.5658
2017-09-05,1.424,0.1406
2017-09-06,1.417,-0.4916
2017-09-07,1.414,-0.2117
2017-09-08,1.416,0.1414
2017-09-11,1.416,0.0
2017-09-12,1.422,0.4237
2017-09-13,1.426,0.2813
2017-09-14,1.426,0.0
2017-09-15,1.432,0.4208
2017-09-18,1.443,0.7682
2017-09-19,1.438,-0.3465
2017-09-20,1.445,0.4868
2017-09-21,1.445,0.0
2017-09-22,1.448,0.2076
2017-09-25,1.454,0.4144
2017-09-26,1.454,0.0
2017-09-27,1.455,0.0688
2017-09-28,1.468,0.8935
2017-09-29,1.479,0.7493
2017-10-09,1.498,1.2847
2017-10-10,1.5,0.1335
2017-10-11,1.519,1.2667
2017-10-12,1.524,0.3292
2017-10-13,1.526,0.1312
2017-10-16,1.521,-0.3277
2017-10-17,1.522,0.0657
2017-10-18,1.543,1.3798
2017-10-19,1.557,0.9073
2017-10-20,1.548,-0.578
2017-10-23,1.555,0.4522
2017-10-24,1.559,0.2572
2017-10-25,1.571,0.7697
2017-10-26,1.579,0.5092
2017-10-27,1.593,0.8866
2017-10-30,1.583,-0.6277
2017-10-31,1.575,-0.5054
2017-11-01,1.562,-0.8254
2017-11-02,1.562,0.0
2017-11-03,1.573,0.7042
2017-11-06,1.612,2.4793
2017-11-07,1.604,-0.4963
2017-11-08,1.599,-0.3117
2017-11-09,1.611,0.7505
2017-11-10,1.634,1.4277
2017-11-13,1.631,-0.1836
2017-11-14,1.605,-1.5941
2017-11-15,1.606,0.0623
2017-11-16,1.631,1.5567
2017-11-17,1.617,-0.8584
2017-11-20,1.614,-0.1855
2017-11-21,1.63,0.9913
2017-11-22,1.612,-1.1043
2017-11-23,1.559,-3.2878
2017-11-24,1.553,-0.3849
2017-11-27,1.537,-1.0303
2017-11-28,1.551,0.9109
2017-11-29,1.529,-1.4184
2017-11-30,1.519,-0.654
2017-12-01,1.524,0.3292
2017-12-04,1.535,0.7218
2017-12-05,1.534,-0.0651
2017-12-06,1.526,-0.5215
2017-12-07,1.515,-0.7208
2017-12-08,1.534,1.2541
2017-12-11,1.574,2.6076
2017-12-12,1.56,-0.8895
2017-12-13,1.58,1.2821
2017-12-14,1.576,-0.2532
2017-12-15,1.561,-0.9518
2017-12-18,1.568,0.4484
2017-12-19,1.577,0.574
2017-12-20,1.589,0.7609
2017-12-21,1.597,0.5035
2017-12-22,1.596,-0.0626
2017-12-25,1.594,-0.1253
2017-12-26,1.586,-0.5019
2017-12-27,1.563,-1.4502
2017-12-28,1.586,1.4715
2017-12-29,1.591,0.3153
2017-12-31,1.59,0.0
2018-01-02,1.592,0.0629
2018-01-03,1.602,0.6281
2018-01-04,1.618,0.9988
2018-01-05,1.614,-0.2472
2018-01-08,1.625,0.6815
2018-01-09,1.65,1.5385
2018-01-10,1.653,0.1818
2018-01-11,1.646,-0.4235
2018-01-12,1.656,0.6075
2018-01-15,1.644,-0.7246
2018-01-16,1.651,0.4258
2018-01-17,1.636,-0.9085
2018-01-18,1.633,-0.1834
2018-01-19,1.627,-0.3674
2018-01-22,1.665,2.3356
2018-01-23,1.667,0.1201
2018-01-24,1.666,-0.06
2018-01-25,1.657,-0.5402
2018-01-26,1.664,0.4225
2018-01-29,1.619,-2.7043
2018-01-30,1.618,-0.0618
2018-01-31,1.628,0.618
2018-02-01,1.605,-1.4128
2018-02-02,1.606,0.0623
2018-02-05,1.582,-1.4944
2018-02-06,1.537,-2.8445
2018-02-07,1.515,-1.4314
2018-02-08,1.526,0.7261
2018-02-09,1.488,-2.4902
2018-02-12,1.524,2.4194
2018-02-13,1.539,0.9843
2018-02-14,1.551,0.7797
2018-02-22,1.588,2.3856
2018-02-23,1.587,-0.063
2018-02-26,1.602,0.9452
2018-02-27,1.589,-0.8115
2018-02-28,1.57,-1.1957
2018-03-01,1.585,0.9554
2018-03-02,1.584,-0.0631
2018-03-05,1.582,-0.1263
2018-03-06,1.596,0.885
2018-03-07,1.585,-0.6892
2018-03-08,1.612,1.7035
2018-03-09,1.625,0.8065
2018-03-12,1.634,0.5538
2018-03-13,1.621,-0.7956
2018-03-14,1.623,0.1234
2018-03-15,1.64,1.0474
2018-03-16,1.626,-0.8537
2018-03-19,1.642,0.984
2018-03-20,1.646,0.2436
2018-03-21,1.635,-0.6683
2018-03-22,1.612,-1.4067
2018-03-23,1.577,-2.1712
2018-03-26,1.581,0.2536
2018-03-27,1.592,0.6958
2018-03-28,1.551,-2.5754
2018-03-29,1.558,0.4513
2018-03-30,1.58,1.4121
2018-04-02,1.57,-0.6329
2018-04-03,1.566,-0.2548
2018-04-04,1.582,1.0217
2018-04-09,1.572,-0.6321
